Flat.Carry,Ball.speed..M.S.,Launch.Angle..degrees.,Height..Yards.,Hang.Time..sec.,Club.Loft..Degrees.,Score
208,64,11,28,6.3,20.5,198.702662548956
195,64,7,21,5.8,20.5,194.129267130764
177,61,19,46,7.2,26.5,190.831253229167
188,64,4,12,4.7,20.5,185.601578287136
188,62,10,18,5.2,20.5,185.324386166011
191,61,14,30,6,23.5,184.927587588864
197,61,12,22,5.5,20.5,184.003677077543
189,61,12,20,5.3,23.5,182.347429989232
189,60,12,30,6.3,23.5,182.264411445552
68,59,6,3,5.3,20.5,181.230127662412
175,59,14,32,6.4,23.5,180.201725882582
174,58,14,29,6.2,26.5,175.440571466629
175,57,19,39,6.8,30,175.173028331602
170,54,26,24,5.6,26.5,169.638369016908
157,56,20,42,6.8,34.5,168.968351081316
160,56,16,34,6.4,30,167.513336998183
161,59,7,12,4.3,20.5,165.47197745977
156,54,24,41,6.6,30,165.418426515632
163,54,20,36,6.5,30,163.704971223538
157,53,22,38,6.9,34.5,163.447825217248
175,54,15,24,5.7,23.5,160.351907581682
154,53,22,37,6.4,34.5,158.840909676805
168,55,10,19,5.3,23.5,158.230797376126
146,53,19,32,6.1,30,157.404507006087
160,53,21,35,6.2,34.5,157.075322850046
115,60,7,5,2.5,20.5,155.019160631426
140,51,24,38,6.4,34.5,152.614334960395
152,51,20,32,6.1,34.5,149.470909605252
154,49,28,41,6.6,39.5,147.653173066653
136,48,26,36,6.2,39.5,141.017092085491
130,47,33,42,6.4,44.5,140.855681399071
133,47,29,38,6.2,39.5,138.91903504898
130,46,32,40,6.3,44.5,136.356175481919
71,58,4,1,1.3,20.5,134.406720186888
133,45,34,41,6.3,44.5,133.922501681698
122,44,29,32,5.7,44.5,124.849600346355
124,43,29,31,5.7,44.5,121.744693018713
123,44,19,23,5.2,44.5,115.510529991712
116,42,26,28,5.3,44.5,112.7090145082
